pl_name,hip_name,sy_pnum
11 Com b,HIP 60202,1
11 Com b,HIP 60202,1
11 Com b,HIP 60202,1
11 UMi b,HIP 74793,1
11 UMi b,HIP 74793,1
11 UMi b,HIP 74793,1
14 And b,HIP 116076,1
14 And b,HIP 116076,1
14 And b,HIP 116076,1
14 Her b,HIP 79248,2
14 Her b,HIP 79248,2
14 Her b,HIP 79248,2
14 Her b,HIP 79248,2
14 Her b,HIP 79248,2
14 Her b,HIP 79248,2
14 Her b,HIP 79248,2
14 Her b,HIP 79248,2
16 Cyg B b,HIP 96901,1
16 Cyg B b,HIP 96901,1
16 Cyg B b,HIP 96901,1
16 Cyg B b,HIP 96901,1
16 Cyg B b,HIP 96901,1
16 Cyg B b,HIP 96901,1
17 Sco b,HIP 79540,1
18 Del b,HIP 103527,1
18 Del b,HIP 103527,1
18 Del b,HIP 103527,1
1RXS J160929.1-210524 b,,1
1RXS J160929.1-210524 b,,1
1RXS J160929.1-210524 b,,1
1RXS J160929.1-210524 b,,1
24 Boo b,HIP 70791,1
24 Boo b,HIP 70791,1
24 Sex b,HIP 50887,2
24 Sex c,HIP 50887,2
2M0437 b,,1
2MASS J01033563-5515561 AB b,,1
2MASS J01225093-2439505 b,,1
2MASS J01225093-2439505 b,,1
2MASS J02192210-3925225 b,,1
2MASS J04414489+2301513 b,,1
2MASS J12073346-3932539 b,,1
2MASS J12073346-3932539 b,,1
2MASS J19383260+4603591 b,,3
2MASS J19383260+4603591 b,,3
2MASS J22362452+4751425 b,,1
30 Ari B b,HIP 12184,1
30 Ari B b,HIP 12184,1
30 Ari B b,HIP 12184,1
4 UMa b,HIP 42527,1
4 UMa b,HIP 42527,1
42 Dra b,HIP 90344,1
47 UMa b,HIP 53721,3
47 UMa b,HIP 53721,3
47 UMa b,HIP 53721,3
47 UMa b,HIP 53721,3
47 UMa b,HIP 53721,3
47 UMa c,HIP 53721,3
47 UMa c,HIP 53721,3
47 UMa c,HIP 53721,3
47 UMa d,HIP 53721,3
47 UMa d,HIP 53721,3
51 Eri b,HIP 21547,1
51 Eri b,HIP 21547,1
51 Eri b,HIP 21547,1
51 Peg b,HIP 113357,1
51 Peg b,HIP 113357,1
51 Peg b,HIP 113357,1
51 Peg b,HIP 113357,1
51 Peg b,HIP 113357,1
55 Cnc b,HIP 43587,5
55 Cnc b,HIP 43587,5
55 Cnc b,HIP 43587,5
55 Cnc b,HIP 43587,5
55 Cnc b,HIP 43587,5
55 Cnc b,HIP 43587,5
55 Cnc b,HIP 43587,5
55 Cnc b,HIP 43587,5
55 Cnc b,HIP 43587,5
55 Cnc b,HIP 43587,5
55 Cnc b,HIP 43587,5
55 Cnc b,HIP 43587,5
55 Cnc c,HIP 43587,5
55 Cnc c,HIP 43587,5
55 Cnc c,HIP 43587,5
55 Cnc c,HIP 43587,5
55 Cnc c,HIP 43587,5
55 Cnc c,HIP 43587,5
55 Cnc c,HIP 43587,5
55 Cnc c,HIP 43587,5
55 Cnc d,HIP 43587,5
55 Cnc d,HIP 43587,5
55 Cnc d,HIP 43587,5
55 Cnc d,HIP 43587,5
55 Cnc d,HIP 43587,5
55 Cnc d,HIP 43587,5
55 Cnc d,HIP 43587,5
55 Cnc d,HIP 43587,5
55 Cnc d,HIP 43587,5
55 Cnc d,HIP 43587,5
55 Cnc e,HIP 43587,5
55 Cnc e,HIP 43587,5
55 Cnc e,HIP 43587,5
55 Cnc e,HIP 43587,5
55 Cnc e,HIP 43587,5
55 Cnc e,HIP 43587,5
55 Cnc e,HIP 43587,5
55 Cnc e,HIP 43587,5
55 Cnc e,HIP 43587,5
55 Cnc e,HIP 43587,5
55 Cnc e,HIP 43587,5
55 Cnc e,HIP 43587,5
55 Cnc e,HIP 43587,5
55 Cnc e,HIP 43587,5
55 Cnc e,HIP 43587,5
55 Cnc e,HIP 43587,5
55 Cnc e,HIP 43587,5
55 Cnc e,HIP 43587,5
55 Cnc f,HIP 43587,5
55 Cnc f,HIP 43587,5
55 Cnc f,HIP 43587,5
55 Cnc f,HIP 43587,5
55 Cnc f,HIP 43587,5
55 Cnc f,HIP 43587,5
55 Cnc f,HIP 43587,5
6 Lyn b,HIP 31039,1
6 Lyn b,HIP 31039,1
6 Lyn b,HIP 31039,1
6 Lyn b,HIP 31039,1
61 Vir b,HIP 64924,3
61 Vir b,HIP 64924,3
61 Vir c,HIP 64924,3
61 Vir c,HIP 64924,3
61 Vir d,HIP 64924,3
7 CMa b,HIP 31592,2
7 CMa b,HIP 31592,2
7 CMa b,HIP 31592,2
7 CMa c,HIP 31592,2
70 Vir b,HIP 65721,1
70 Vir b,HIP 65721,1
70 Vir b,HIP 65721,1
70 Vir b,HIP 65721,1
70 Vir b,HIP 65721,1
70 Vir b,HIP 65721,1
75 Cet b,HIP 11791,2
75 Cet b,HIP 11791,2
75 Cet c,HIP 11791,2
8 UMi b,HIP 73136,1
8 UMi b,HIP 73136,1
81 Cet b,HIP 12247,1
81 Cet b,HIP 12247,1
81 Cet b,HIP 12247,1
91 Aqr b,HIP 114855,1
AB Aur b,,1
AB Pic b,HIP 30034,1
AF Lep b,HIP 25486,1
AF Lep b,HIP 25486,1
AF Lep b,HIP 25486,1
AU Mic b,HIP 102409,3
AU Mic b,HIP 102409,3
AU Mic b,HIP 102409,3
AU Mic b,HIP 102409,3
AU Mic b,HIP 102409,3
AU Mic b,HIP 102409,3
AU Mic b,HIP 102409,3
AU Mic b,HIP 102409,3
AU Mic b,HIP 102409,3
AU Mic b,HIP 102409,3
AU Mic c,HIP 102409,3
AU Mic c,HIP 102409,3
AU Mic c,HIP 102409,3
AU Mic c,HIP 102409,3
AU Mic c,HIP 102409,3
AU Mic c,HIP 102409,3
AU Mic d,HIP 102409,3
BD+03 2562 b,,1
BD+14 4559 b,HIP 104780,1
BD+14 4559 b,HIP 104780,1
BD+15 2375 b,,1
BD+15 2940 b,HIP 78407,1
BD+20 2457 b,,2
BD+20 2457 b,,2
BD+20 2457 c,,2
BD+20 274 b,,1
BD+20 594 b,,1
BD+20 594 b,,1
BD+20 594 b,,1
BD+45 564 b,,1
BD+48 738 b,,1
BD+48 740 b,HIP 12684,1
BD+49 828 b,,1
BD+55 362 b,,1
BD+60 1417 b,,1
BD+63 1405 b,HIP 88617,1
BD+63 1405 b,HIP 88617,1
BD-00 4475 b,HIP 114458,1
BD-06 1339 b,HIP 27803,2
BD-06 1339 c,HIP 27803,2
BD-08 2823 b,HIP 49067,2
BD-08 2823 b,HIP 49067,2
BD-08 2823 c,HIP 49067,2
BD-10 3166 b,,1
BD-10 3166 b,,1
BD-10 3166 b,,1
BD-10 3166 b,,1
BD-11 4672 b,HIP 90979,2
BD-11 4672 b,HIP 90979,2
BD-11 4672 c,HIP 90979,2
BD-13 2130 b,,1
BD-13 2130 b,,1
BD-17 63 b,HIP 2247,1
BD-17 63 b,HIP 2247,1
BD-210397 b,HIP 10337,2
BD-210397 c,HIP 10337,2
BD-210397 c,HIP 10337,2
CD Cet b,,1
CFBDSIR J145829+101343 b,,1
CFHTWIR-Oph 98 b,,1
CHXR 73 b,,1
CI Tau c,,1
COCONUTS-2 b,,1
CT Cha b,,1
CoRoT-1 b,,1
CoRoT-1 b,,1
CoRoT-1 b,,1
CoRoT-1 b,,1
CoRoT-1 b,,1
CoRoT-1 b,,1
CoRoT-1 b,,1
CoRoT-10 b,,1
CoRoT-10 b,,1
CoRoT-10 b,,1
CoRoT-11 b,,1
CoRoT-11 b,,1
CoRoT-11 b,,1
CoRoT-11 b,,1
CoRoT-11 b,,1
CoRoT-11 b,,1
CoRoT-12 b,,1
CoRoT-12 b,,1
CoRoT-12 b,,1
CoRoT-12 b,,1
CoRoT-12 b,,1
CoRoT-12 b,,1
CoRoT-13 b,,1
CoRoT-13 b,,1
CoRoT-13 b,,1
CoRoT-13 b,,1
CoRoT-13 b,,1
CoRoT-14 b,,1
CoRoT-14 b,,1
CoRoT-14 b,,1
CoRoT-16 b,,1
CoRoT-16 b,,1
CoRoT-17 b,,1
CoRoT-17 b,,1
CoRoT-17 b,,1
CoRoT-18 b,,1
CoRoT-18 b,,1
CoRoT-18 b,,1
CoRoT-18 b,,1
CoRoT-18 b,,1
CoRoT-18 b,,1
CoRoT-19 b,,1
CoRoT-19 b,,1
