id,id,dist,x0,y0,z0,absmag,mag,vx,vy,vz,spect,sy_pnum
1,-999,0,0,0,0,4.85,-26.7,0,0,0,G,0
2,0,509.1956,506.856,0.003,-48.754,0.705,9.239,-2.03E-05,5.550139453319999e-05,-2.61E-05,G,0
3,1,219.7802,219.741,0.003,4.177,2.39,9.1,3.781445139999999e-08,-5.54E-06,-2.00E-06,F,0
14,0,817.1342,696.482,0.041,427.341,-0.548,9.013,4.377278252599999e-05,3.668103987019999e-05,4.195360081e-06,K,0
21,2,37.3164,35.176,0.003,-12.456,6.411,9.27,6.515327775e-06,3.25071420454e-05,-2.51E-06,K,0
27,3,334.1479,260.197,0.023,209.648,-1.01,6.61,2.442609158e-06,9.326883337199998e-06,-3.03E-06,B,0
39,0,537.0134,374.642,0.055,-384.742,0.764,9.414,-1.77E-05,8.167819301179998e-05,2.92050206272e-05,G,0
41,4,136.7402,84.386,0.013,-107.596,2.381,8.06,-7.65E-06,4.1049120013e-05,1.11460650532e-05,F,0
43,5,383.802,291.448,0.051,-249.724,0.629,8.55,2.6056201039e-05,1.9040087286e-06,-9.43E-07,G,0
54,0,100.8811,96.24,0.02,30.248,4.587,9.606,3.75139798132e-05,1.1622322738399998e-05,2.58834809772e-05,G,0
59,0,343.2753,245.174,0.054,240.266,2.062,9.74,-3.11E-06,-3.16E-05,-3.06E-05,F,0
66,0,192.9142,180.204,0.044,-68.864,3.462,9.889,-5.96E-05,6.47536709798e-05,-2.30E-05,G,0
91,0,1002.6177,120.355,0.04,995.368,-0.505,9.501,1.54078559272e-05,3.33206637566e-05,-2.23E-05,K,0
106,7,57.1716,53.711,0.021,19.588,5.854,9.64,2.37965320648e-05,-5.72E-05,-4.91E-05,G,0
117,0,209.0484,187.604,0.081,-92.227,2.803,9.404,1.2253926278e-06,-3.44E-05,4.234196544599999e-06,F,0
125,0,312.6529,312.568,0.145,7.268,1.993,9.468,1.03867099886e-05,-2.33E-05,3.3838823941999995e-06,G,0
128,0,762.7525,725.368,0.342,-235.866,-0.634,8.778,-3.00E-05,6.3640699694e-05,-1.72E-05,K,0
129,0,197.106,141.265,0.067,137.459,2.873,9.346,-1.22E-07,2.3434739746e-06,-2.03E-05,F,0
130,8,657.7118,591.718,0.282,287.15,-0.04,9.05,-1.95E-05,5.97243489436e-05,-3.24E-05,M,0
144,0,716.1161,708.797,0.361,-102.125,0.449,9.724,-4.68E-05,5.62740357564e-05,-5.16E-05,K,0
159,0,65.3803,25.616,0.014,60.153,4.859,8.936,6.376334115799999e-06,3.25705068018e-05,-3.96E-06,G,0
167,0,432.0471,283.205,0.167,326.282,1.383,9.561,2.50065945096e-05,2.61522701858e-05,-2.17E-05,K,0
175,9,322.5731,259.014,0.16,192.263,1.047,8.59,3.37264026e-06,-9.49E-06,2.05915018056e-05,G,0
177,10,93.4373,58.97,0.037,-72.478,3.737,8.59,1.8799914419e-05,1.91596627134e-05,6.1739757002e-06,F,0
182,11,297.2196,202.931,0.132,217.16,-0.025,7.34,-1.58E-05,1.5841189099999998e-05,-2.13E-05,A,0
186,0,221.7608,177.416,0.118,133.046,2.639,9.368,2.9352190384e-06,1.2739382073e-05,-3.92E-06,F,0
192,0,175.7651,120.878,0.082,127.6,3.096,9.321,-2.45E-05,-3.78E-05,-4.32E-05,F,0
202,12,551.218,446.169,0.318,-323.688,-0.277,8.43,1.02518043782e-05,-1.47E-05,-2.72E-06,K,0
